Shipment_ID,Shipment_Volume_kg,Distance_km,Transportation_Cost,Fuel_Cost,Delivery_Time_Days
1,289.73713224089863,588.9266321297462,709.9033154879003,226.70166456999826,5.639921616783335
2,238.93885590630524,736.4124960705196,638.6950524369154,146.92885702028798,6.381538570848026
3,301.8150830480554,240.21486392712882,508.94455548802614,130.90806699466157,3.670310659221098
4,371.84238851264206,534.4453855035856,402.9594833441639,179.79753255534288,5.621526004834377
5,231.26773002213312,352.403614631726,604.7334970420385,169.7889226485043,3.617324045023012
6,231.26904344406555,376.9311924352956,559.0228078132625,152.8063170403635,4.759453536831805
7,376.3370252405913,361.1409113641696,634.2789830041598,221.78324684740292,5.002547838677948
8,311.3947783322327,320.40138454802764,595.2757702522954,237.31831251423063,4.29088878889897
9,212.44204912520382,457.27824419172407,657.4329072979003,185.30441317751084,5.411506979780252
10,293.4048034868772,325.35748253834436,419.7147182659148,268.6518048633157,5.219685698205387
11,212.926584575003,490.56852386697585,697.6091098451489,111.4986531519897,4.2979131626043765
12,212.74161971437945,442.46428358262943,529.6399407038599,168.3804324432169,4.5932031329452325
13,269.3569817252827,414.15779297003854,811.2891308937899,136.9906607638317,4.498913074934772
14,96.93758042737616,313.8654506937603,396.62182728656484,68.0078029756164,3.4292664697203543
15,112.00657339895739,363.4843004147501,760.3945704747874,175.03915884943805,4.806250387536416
16,205.01699766072218,563.3086838738634,529.6866175193971,172.695149497003,5.475054644298366
17,168.97351037324609,525.1375781436572,402.2872994578328,270.8069845945279,5.372991459998529
18,275.1397866076219,303.36671328021737,427.41712489185176,217.84870107328666,3.5008793595595273
19,177.35807395830312,464.89984581438387,451.94790377085195,118.5487905402477,5.234021973173634
20,137.0157038931767,562.7080685057683,563.6248919602874,291.2455539800513,5.050433660848561
21,367.2519015137243,199.58920783179423,578.425323205325,253.26202173152117,4.268940200782626
22,231.93789596107715,531.5040288569903,413.94499940921315,214.92586220811694,5.689936129602436
23,255.40225637503391,350.606436158123,496.34681116085255,166.41095406901007,5.276987899598028
24,136.02014510292346,535.589800288974,821.3405537917795,122.43364579659121,4.540446383684343
25,206.4493820379854,335.51112651862246,759.1314755151068,157.66759343573682,2.896033505630144
26,258.8738071767893,179.26768490032214,565.4485504511048,245.32491718225117,3.996660645596539
27,157.92051380621578,205.8686343175256,505.70052172523003,293.07517835607655,4.83159014666764
28,280.05584146765375,457.2127419992073,518.0046990077392,272.59461169633136,6.010837792793725
29,201.9489048064956,488.9583752582223,592.0276959095625,150.66903469282354,5.254857462927062
30,226.66450001653786,314.3525062343387,346.58111522023916,112.82295400265933,4.004919346394065
31,201.86347102164825,545.788868816606,461.3935193864982,188.45317481467222,5.913138934074326
32,398.182254760715,200.771990659656,249.71238891836157,73.8936380662289,3.4612386390999337
33,248.9202220209653,440.08803020290253,559.8834683907919,199.3900628510869,5.335239605436727
34,165.38312568352796,268.3475700356315,597.0793909554111,171.14384482207987,4.267526870772686
35,315.8035929682551,352.22458382967613,427.5220306550939,152.03780988790547,5.2269106786101425
36,152.3325080023182,457.1098006974621,736.0980144935049,84.31781596399227,6.1386796708754705
37,266.7090876003804,320.93799520740714,316.1351505496488,210.81600639418298,4.755948147615546
38,93.22639008961795,392.3166683655262,280.343767968527,148.0379496202853,4.189630208393689
39,143.74511608812554,600.9439213821661,533.6677727839958,109.80498985738272,5.49903266270585
40,265.74889886952985,363.4662195715277,657.0647453918232,20.0,3.504290943152139
41,309.07732639963285,575.3538168097713,752.5891537186803,178.34910569696183,5.5042653826975165
42,263.7094624951976,280.5439718013573,431.16736056965897,286.33509580018466,4.298167756540999
43,240.74813740894075,529.4706266872925,661.8021250146944,279.67555287287223,5.426156315032792
44,225.9117043528569,666.235293098685,494.2237295748939,152.57422460482368,6.1643257594256475
45,131.7182407706058,79.2533249809066,474.1059050088771,143.86727637829318,2.536227693011231
46,192.4124633284233,330.46571167942847,632.5489906230009,208.12645536450142,5.013921729445228
47,213.148898323217,536.560819077081,597.848431762013,120.09687364870251,5.349399171788343
48,334.5697780975132,419.5431920935511,263.5411764523626,198.10751398916796,5.158420384071811
49,277.48946316547693,505.6718810056963,721.4810524588844,225.96481670308142,5.37132060650914
50,108.95678757098128,359.4022219926269,707.0137031221177,253.61599343305846,4.599752013900703
51,275.9267175515836,462.988468120935,406.1655947735706,173.99075541120283,5.627326418864065
52,219.19341756669468,426.64841469118807,559.3705300156114,167.77957498938204,4.473622950712644
53,195.8462399755233,625.1673092489712,574.1045279424109,127.32104479460634,5.443112871247487
54,298.93410310726944,488.163126495182,539.1010648735861,130.3871787576084,5.147595181817334
55,332.47996179967606,500.6403993112803,417.454226923187,166.41126648590838,4.828048991390963
56,324.5024095292959,388.2184550816299,399.25649480929224,202.0419304089707,4.584552025423934
57,182.86259814218892,376.859066389126,496.1668893512832,234.81507757399498,4.481540246605668
58,225.26300993190284,385.11627182705683,675.9093528889047,131.8092629591793,5.0769204952738125
59,276.50107451228513,509.1678213567445,581.5400231891649,269.5613141375713,5.769244548584397
60,328.04361016978874,386.85232787696054,444.40785018708414,163.73258393744587,5.014608983283044
61,211.6660609723768,493.46622853446195,615.7548065972517,178.71796233909384,5.673548170379236
62,235.14728186689462,761.3101197968158,72.71860690548868,135.1672992511306,6.478493867020431
63,161.49320207951774,580.6687055147538,672.3148550558155,34.54558438362349,5.490653525464496
64,154.30347007354635,401.0964701748238,239.04293318328507,233.04272378166297,4.72856386211829
65,315.00206579153587,630.1820883245917,445.63385878953017,224.210633825546,6.362017015556937
66,358.49920228566583,388.7886940467673,332.04951580607843,163.12034657290718,4.695803239145192
67,244.23919027357329,144.28131972332193,305.79777864186417,184.0194430334923,2.3585152860925263
68,330.2826318313619,298.78705336238943,674.124018106778,210.95635306224597,4.509273655506011
69,278.9308820038107,169.38121184612163,429.8448198032163,86.24724858680744,4.288636388461815
70,198.39041963159005,397.27297739380367,551.9755822596073,148.2568393592223,5.14276710607144
71,278.9116484406731,452.76275687843275,492.9619131681224,227.65588077730962,5.759647585123715
72,373.04292531727754,701.4655968412924,571.5561240834683,104.74263460984504,7.080964464963817
73,247.13391687120387,499.0391060646244,511.5232836590383,197.61347592999775,5.429019111406243
74,375.1714924651205,417.13492067867037,307.55116637171454,98.6050917225957,5.131885625471583
75,40.42039167282044,574.4108371775234,649.440022917071,207.98579894601158,5.060040619408106
76,315.7522003500179,118.32970364881726,425.9365125258031,177.86151106215098,3.4208395130548994
77,256.9637654590537,485.3421837162849,266.51271520103734,83.09209104566943,5.414708206476441
78,226.0794119627306,565.629779083045,435.78272585511314,249.88436126743028,6.382018660459956
79,257.3408621228402,228.21206313302378,725.1139685951466,135.92450539211706,3.8578679128545335
80,90.99448683192858,621.5631064810393,627.533261317024,131.38485377913713,5.327479581201622
81,232.42624897299905,500.77446112416214,447.7021798388211,192.03415183385658,5.353057086662821
82,278.5690057209397,387.70681291487983,447.6113443522357,248.91824096572293,5.2941119324122825
83,368.2315235793213,544.9172799159427,451.7547423173926,119.05069086129618,4.9772234203941785
84,208.5383825381082,790.6039286706593,811.5121975341261,183.7007909908783,5.589407513842651
85,185.32051176854497,477.2799382587743,557.2903178347331,205.72899001983438,4.893230270124837
86,209.85943651323709,487.23308794505044,564.5062470786604,221.58633643578864,4.688700772666225
87,323.2321694161659,381.09586506896335,654.5425181047763,190.58649331663352,4.67904655198676
88,276.30008877277476,322.5233445802812,535.818373853977,157.97832965500066,4.407283400348222
89,207.6191836986369,574.5503724816368,461.14367812689454,130.3445867610768,5.322055198816105
90,291.06139464906846,321.58742611366995,470.5475226372533,185.1686329827825,5.286630953067425
91,257.7662039478432,460.73493558290886,489.2598110878904,115.67165928086358,5.213922786673119
92,327.49159924263114,378.3513829852325,494.41666452352376,20.0,4.736977293216839
93,193.8357524898118,521.8469738619588,609.1444315455469,206.19358824946008,5.720397122810039
94,223.78702827217853,500.04931579304224,507.7918828710949,234.2360904651717,4.846876257549527
95,218.6313477494274,605.6309916386849,609.8960115823369,38.22405386748969,6.0614216551373925
96,132.9188041494305,373.49754017178793,487.89251298371266,119.41615771740375,4.3342754813248785
97,273.6896221651661,409.5187597059943,511.7952785474136,217.14925566031187,5.3645118628015345
98,270.88442177439117,303.1854426326539,200.26989732018387,303.4497281827019,4.128666896557378
